Team	Wins	Win	ERA	FPCT	HR	AVG	OBP	SLG
Philly	102	0.630	3.02	0.988	153	0.253	0.323	0.395
SanFran	86	0.531	3.20	0.983	121	0.242	0.303	0.368
SanDieg	71	0.438	3.42	0.985	91	0.237	0.305	0.349
Atl	89	0.549	3.48	0.987	173	0.243	0.308	0.387
LADod	82	0.509	3.54	0.986	117	0.257	0.322	0.375
LaAng	86	0.531	3.57	0.985	155	0.253	0.313	0.402
Wash	80	0.497	3.58	0.983	154	0.242	0.309	0.383
TB	91	0.562	3.58	0.988	172	0.244	0.322	0.402
Mil	96	0.593	3.63	0.982	185	0.261	0.325	0.425
Oak	74	0.457	3.71	0.979	114	0.244	0.311	0.369
NYY	97	0.599	3.73	0.983	222	0.263	0.343	0.444
STL	90	0.556	3.74	0.982	162	0.273	0.341	0.425
Tex	96	0.593	3.79	0.981	210	0.283	0.340	0.460
Ariz	94	0.580	3.80	0.985	172	0.250	0.322	0.413
Sea	67	0.414	3.90	0.982	109	0.233	0.292	0.348
Flo	72	0.444	3.95	0.985	149	0.247	0.318	0.388
Pitt	72	0.444	4.04	0.982	107	0.244	0.309	0.368
Det	95	0.586	4.04	0.983	169	0.277	0.340	0.434
ChiSox	79	0.488	4.10	0.978	154	0.252	0.319	0.388
Cinn	79	0.488	4.16	0.985	183	0.256	0.326	0.408
NYMets	77	0.475	4.19	0.981	108	0.264	0.335	0.391
Bos	90	0.556	4.20	0.985	203	0.280	0.349	0.461
Clev	80	0.494	4.23	0.982	154	0.250	0.317	0.396
Tor	81	0.500	4.32	0.982	186	0.249	0.317	0.413
ChiCub	71	0.438	4.33	0.978	148	0.256	0.314	0.401
Col	73	0.451	4.43	0.984	163	0.258	0.329	0.410
KanCity	71	0.438	4.44	0.985	129	0.275	0.329	0.415
Hou	56	0.346	4.51	0.981	95	0.258	0.311	0.374
Minn	63	0.389	4.58	0.980	103	0.247	0.306	0.360
Balt	69	0.426	4.89	0.982	191	0.257	0.316	0.413
