price;height;width;picture;house;csigned
3.9937799;21.299999;25.6;1;1;Signed
8.8000002;31.9;25.6;2;2;Signed
.131694;6.9000001;15.9;3;3;Not Signed
2.0374999;25.700001;32;4;2;Signed
1.4875;25.700001;32;4;2;Signed
1.87;25.6;31.9;4;1;Signed
5.2824998;25.5;35.599998;5;1;Signed
5.0657501;26;34.299999;5;2;Signed
1.375;25.6;36.200001;5;2;Signed
2.53;25.6;36.400002;6;2;Signed
3.7425001;25.6;36.400002;6;2;Signed
.36434299;25.6;36.200001;7;2;Signed
2.72387;31.9;39.400002;8;2;Signed
3.52;23.6;31.9;9;1;Signed
.4975;19.5;25;10;2;Signed
9.3500004;32.700001;26.799999;11;1;Signed
1.2194999;25.5;36;12;2;Signed
.40700001;25.6;39.400002;12;2;Signed
3.7133901;25.6;36.200001;13;3;Signed
5.2964058;25.799999;21.5;14;2;Signed
2.862;21.4;28.9;15;2;Signed
4.1799998;26;32.5;16;1;Signed
2.4807501;26;32.5;16;2;Signed
.237068;50;14.6;17;2;Not Signed
.52744597;22.700001;28.1;18;1;Signed
33.013504;35;39.400002;19;2;Signed
.035549;37.400002;39.400002;20;3;Not Signed
.495;32.099998;23.5;21;1;Signed
1.0779999;32.099998;23.5;21;1;Signed
.43149999;25.700001;36.400002;22;2;Not Signed
3.48;25.700001;36.5;23;2;Signed
.46450001;21.5;25.9;24;1;Signed
1.65;25.6;31.9;25;1;Signed
4.4879999;28.700001;36.200001;26;2;Signed
.1565;23.700001;23.700001;27;2;Not Signed
.191346;23.6;23.6;27;2;Not Signed
1.216;29.299999;29.299999;28;1;Signed
.79750001;32;32.599998;29;2;Signed
1.21;25.700001;32;30;1;Signed
.699516;21.299999;25.6;31;2;Signed
.76250899;25.6;31.9;32;2;Signed
.76048601;23.9;31.5;33;1;Signed
.88249999;23.6;28.700001;34;1;Signed
3.74;32.299999;23.6;35;2;Signed
.219005;19.700001;22.4;36;2;Not Signed
1.39062;23.6;31.5;37;2;Signed
2.8694999;23.6;28;38;1;Signed
1.8724999;21.299999;25.799999;39;2;Signed
.71499997;21.299999;25.799999;39;1;Signed
2.3157499;18.1;15;40;2;Signed
5.9791899;51.599998;38.200001;41;1;Not Signed
1.133311;21.700001;25.6;42;1;Signed
9.0225;24.4;31.5;43;1;Signed
.99599999;27.200001;36.5;44;1;Signed
.76277399;27.200001;36.5;44;1;Signed
.99599999;36.299999;28.9;45;1;Signed
3.5591111;26;36.5;46;1;Signed
.99250001;25.700001;31.700001;47;1;Not Signed
3.5225;25.6;31.9;48;1;Signed
.33000001;25.799999;32.099998;49;2;Not Signed
3.9625001;25.5;31.700001;50;1;Signed
4.00037;28.700001;39.400002;51;1;Signed
.76999998;26;31.9;52;2;Signed
1.062026;23.6;31.9;53;1;Signed
.27500001;22.9;30.700001;54;1;Signed
.792;23.6;29.1;55;2;Signed
.121;31.9;23.4;56;1;Signed
1.4036011;51.200001;35;57;1;Signed
2.0374999;21.1;24.200001;58;1;Signed
3.502784;21.1;24.200001;58;1;Signed
1.094111;25.6;39.400002;59;2;Not Signed
.2665;46.599998;14.5;60;2;Not Signed
.60500002;46.700001;14.6;60;2;Not Signed
.77574998;23.5;32;61;2;Signed
.73620099;23;32;61;2;Signed
6.0999999;51.799999;34.799999;62;1;Signed
2.2474999;21.299999;31.9;63;1;Signed
1.8724999;21.299999;31.9;63;1;Signed
.82499999;21.299999;28.700001;64;1;Signed
.79750001;24;19.700001;65;2;Signed
.664657;50.599998;14.6;66;2;Signed
2.61835;46.900002;14.4;66;3;Signed
.59399998;47.5;14.9;66;2;Signed
.27658001;50.599998;14.6;66;2;Signed
15.4025;23.700001;32.200001;67;2;Signed
25.4177;23.6;32.299999;67;2;Signed
.32350799;23.700001;29.4;68;3;Not Signed
.16500001;23.6;28.700001;68;1;Not Signed
.72100002;28.700001;36.200001;69;1;Signed
1.045;18.9;29.9;70;1;Signed
1.155;23.6;31.9;71;2;Signed
.46000001;23.5;32;72;2;Signed
2.8657501;25.5;32;73;2;Signed
.77057701;28.700001;36.400002;74;2;Signed
1.78923;23.200001;31.5;75;3;Signed
.77249998;23.6;31.9;76;2;Signed
.11;23.6;28.700001;77;1;Not Signed
1.5425;24;29.1;78;1;Signed
2.2;24.1;29.4;78;1;Signed
.76999998;25.799999;36.200001;79;1;Signed
3.3;25.6;36.200001;80;2;Signed
2.4224999;25.6;31.9;81;2;Signed
.13147999;25.6;31.9;82;2;Signed
.058901001;11.2;19.700001;83;3;Not Signed
1.045;23.6;29;84;1;Signed
.20900001;23.799999;31.9;85;2;Signed
.050545;11;11;86;1;Not Signed
.052172001;18.299999;29;87;1;Not Signed
.032658;11.7;27.5;88;3;Not Signed
1.76;35;27;89;2;Signed
.59853703;21.299999;25.6;90;2;Not Signed
1.4299999;25.6;39.400002;91;1;Signed
.68449998;23.6;29.1;92;2;Signed
.69999999;21.700001;31.9;93;1;Signed
1.656;24;31.1;94;1;Signed
.53049999;23.5;29;95;1;Signed
3.1146801;25.200001;39;96;2;Signed
.34349999;15.5;18.9;97;2;Signed
1.68299;28.700001;39.400002;98;1;Signed
2.128;23.6;29.5;99;2;Signed
4.73;23.6;29.5;100;1;Signed
3.0895;32.599998;24.5;101;2;Signed
11;21.299999;29.1;102;2;Signed
1.0475;21.9;28.700001;103;2;Signed
.49107099;23.6;39.400002;104;2;Signed
.57591999;15.9;21.299999;105;2;Signed
2.3358049;25.6;36.200001;106;1;Signed
.71749997;25.5;36.299999;107;2;Signed
1.8150001;25.9;32.900002;108;2;Signed
.72227198;23.9;32;109;1;Signed
.4975;23.700001;32;109;1;Signed
.284482;23.6;31.9;110;2;Not Signed
1.45918;23.6;39.400002;111;2;Signed
.48604801;31.9;23.6;112;1;Signed
2.2625229;47.200001;39.400002;113;2;Not Signed
1.656;47.5;39.5;113;1;Not Signed
.85250002;78.699997;39.799999;114;2;Not Signed
1.0805;39.799999;39.799999;115;1;Signed
.60750002;39.799999;39.799999;115;2;Not Signed
3.5;78.699997;39.5;116;1;Not Signed
6.5999999;23.799999;28.9;117;2;Signed
.63249999;21.700001;29.1;118;2;Signed
5.0180898;24;31.5;119;2;Signed
.63249999;21.5;28.9;120;2;Signed
.47285399;23.6;28.9;121;1;Signed
1.22486;41.700001;28.5;122;2;Signed
12.1893;41.700001;28.700001;122;1;Signed
.34058601;20.5;26.799999;123;3;Signed
.60750002;25.799999;31.9;124;1;Signed
1.051;26.1;32.200001;125;1;Signed
1.2125;26.299999;32.099998;125;1;Signed
2.2025001;24;39.299999;126;2;Signed
1.1645581;23.200001;31.5;127;2;Signed
.328067;24;29.1;128;2;Signed
.90799999;25.6;39.400002;129;1;Signed
2.42575;25.5;31.9;130;2;Signed
1.4875;25.6;31.9;130;1;Signed
9.6824999;57.900002;89;131;1;Signed
1.27605;19.700001;24;132;2;Signed
.28850001;21;28.700001;133;2;Not Signed
.35954699;28.700001;35.799999;134;2;Signed
.40596801;24.5;32;135;1;Signed
.86949998;27.9;36.5;136;1;Not Signed
.80500698;36.299999;28.9;137;1;Not Signed
4.7115002;28.700001;36.200001;138;1;Signed
1.5425;25.6;36.200001;139;1;Signed
.25299999;25.6;31.700001;140;1;Not Signed
.57999998;28.700001;36.200001;141;1;Not Signed
6.6025;25.6;36.299999;142;3;Signed
.32385999;23.200001;31.5;143;2;Signed
16.566547;18.700001;29.1;144;2;Signed
10.78;18.700001;29.1;144;1;Signed
1.18625;28.700001;36.200001;145;2;Signed
.98494798;28.700001;23.6;146;2;Signed
3.8499999;29;36.5;147;1;Signed
.79022902;29;36.5;147;2;Signed
2.326129;29;36.5;147;2;Signed
.28600001;25.6;36.200001;148;2;Not Signed
5.1375451;20.9;28.700001;149;1;Signed
4.6300802;20.9;28.700001;149;2;Signed
.78766;25.6;31.5;150;1;Signed
.60750002;23.6;37.900002;151;2;Signed
.44427299;23.6;31.9;152;3;Not Signed
.25393999;23.6;31.9;152;2;Signed
3.368;26.799999;35.400002;153;2;Signed
.38499999;25.6;31.9;154;2;Signed
2.9195001;23.6;28.700001;155;1;Signed
.373393;11.6;23.299999;156;1;Not Signed
7.5999999;23.5;31.4;157;1;Signed
2.6400001;21.700001;26;158;2;Signed
.55000001;23.6;39.400002;159;1;Signed
.304858;15.7;28.700001;160;2;Signed
.80000001;19.799999;25.5;161;2;Signed
.39916599;17.700001;23.6;162;3;Not Signed
.535074;22;29.299999;163;2;Signed
.84799999;22.1;28.9;163;2;Signed
.77249998;19.799999;32.599998;164;2;Not Signed
.44;23.799999;39.599998;165;1;Signed
1.2125;26;39.599998;166;2;Signed
.352;18.9;24.799999;167;1;Signed
1.6525;25.5;32;168;2;Signed
.38749999;19.5;32;168;1;Signed
2.3594999;25.700001;31.9;169;1;Signed
.121;21.299999;32.099998;170;1;Not Signed
.638686;21.299999;32.099998;170;1;Not Signed
2.2025001;25.6;36.200001;171;1;Signed
.57450002;19.5;32;172;1;Signed
1.9857;28.700001;39.400002;173;2;Signed
.33000001;23.6;31.9;174;2;Signed
1.4325;25.5;36.400002;175;2;Signed
.27180001;26;15;176;2;Signed
.33250001;26;15;176;1;Signed
1.4635;28.9;36.299999;177;1;Signed
.83939701;28.700001;21.700001;178;2;Signed
.33000001;35;39.400002;179;2;Not Signed
.72600001;20;26;180;1;Signed
7.7289348;39.400002;78.699997;181;2;Not Signed
16.808001;39.400002;78.699997;181;2;Not Signed
6.8260002;39.799999;79;181;1;Not Signed
9.9025002;38.400002;78.099998;181;2;Not Signed
12.1;39.400002;78.699997;182;1;Signed
3.8499999;38.599998;51.400002;183;1;Not Signed
8.9979601;39.400002;78.699997;184;2;Not Signed
.86645103;21.299999;29.1;185;2;Signed
.54509997;22.200001;29.1;186;1;Signed
.55250001;20;24.1;187;2;Signed
1.330368;25.6;31.9;188;1;Signed
2.8276;17.5;28.299999;189;1;Signed
.69;15.7;31;190;2;Signed
.29949999;23.6;31.6;191;1;Not Signed
.205075;21.700001;25.6;192;3;Signed
.24518301;25;35.799999;193;2;Signed
12.1025;32;36.400002;194;2;Signed
9.8999996;32;36.400002;194;2;Signed
11.55;28.700001;36.200001;195;2;Signed
.6735;23.5;31.5;196;1;Signed
.84750003;23.799999;28.700001;197;1;Signed
13.2025;39.599998;32.299999;198;1;Signed
2.7525001;23.6;28.700001;199;1;Signed
5.8299999;35;36.200001;200;2;Signed
.68199998;25.6;39.400002;201;2;Signed
1.2675;25.6;39.400002;202;1;Signed
1.0145;28.299999;36;203;1;Signed
4.2375002;28.700001;36.200001;204;1;Signed
4.1824999;25;35.400002;205;1;Signed
2;32;26;206;2;Signed
2.5287399;31.9;26;207;2;Signed
3.0799999;25.6;36.200001;208;1;Signed
14.3;32.299999;36.5;209;1;Signed
14.58075;32.099998;36.599998;210;2;Signed
9.8999996;31.9;36.200001;210;1;Signed
.66000003;20.299999;25.799999;211;1;Signed
.88500702;23.6;31.9;212;1;Signed
12.4453;22.9;38.299999;213;1;Signed
1.9741811;28.9;41.900002;214;1;Signed
4.3115778;31.5;36.200001;215;1;Not Signed
6.875;35;45.5;216;2;Signed
11.0401;35.200001;36.400002;217;1;Signed
.61953902;19.700001;25.6;218;2;Signed
4.9541898;21.299999;28.700001;219;2;Signed
2.0899999;23.6;32;220;1;Signed
