Date	day_num	academic_committment	screen_time	hours	mins
10/20/2023	1	0	635	10	35
10/21/2023	2	0	638	10	38
10/22/2023	3	0	714	11	54
10/23/2023	4	230	690	11	30
10/24/2023	5	225	641	10	41
10/25/2023	6	245	597	9	57
10/26/2023	7	405	376	6	16
10/27/2023	8	215	393	6	33
10/28/2023	9	0	126	2	6
10/29/2023	10	0	556	9	16
10/30/2023	11	230	441	7	21
10/31/2023	12	225	405	6	45
11/1/2023	13	245	579	9	39
11/2/2023	14	405	492	8	12
11/3/2023	15	215	412	6	52
11/4/2023	16	0	318	5	18
11/5/2023	17	0	428	7	8
11/6/2023	18	230	643	10	43
11/7/2023	19	225	581	9	41
11/8/2023	20	290	469	7	49
11/9/2023	21	315	397	6	37
